model,params,WMAE,NAE
HuberRegressor,alpha_1e-06_eps_1.1_sw_uniform,72.251882,10.720253
HuberRegressor,alpha_1e-06_eps_1.1_sw_target_reciprocal,113.125297,12.339435
HuberRegressor,alpha_1e-06_eps_1.35_sw_uniform,73.361583,10.825293
HuberRegressor,alpha_1e-06_eps_1.35_sw_target_reciprocal,113.114674,12.405830
HuberRegressor,alpha_1e-06_eps_1.5_sw_uniform,73.292238,10.728038
HuberRegressor,alpha_1e-06_eps_1.5_sw_target_reciprocal,112.412414,12.450937
HuberRegressor,alpha_1e-06_eps_1.75_sw_uniform,73.952259,10.707627
HuberRegressor,alpha_1e-06_eps_1.75_sw_target_reciprocal,111.145115,12.349812
HuberRegressor,alpha_1e-06_eps_1.9_sw_uniform,74.915389,10.960639
HuberRegressor,alpha_1e-06_eps_1.9_sw_target_reciprocal,109.823909,12.468644
HuberRegressor,alpha_1e-05_eps_1.1_sw_uniform,72.314900,10.717587
HuberRegressor,alpha_1e-05_eps_1.1_sw_target_reciprocal,112.737908,12.368446
HuberRegressor,alpha_1e-05_eps_1.35_sw_uniform,73.270311,10.832917
HuberRegressor,alpha_1e-05_eps_1.35_sw_target_reciprocal,113.307955,12.357620
HuberRegressor,alpha_1e-05_eps_1.5_sw_uniform,73.049669,10.670860
HuberRegressor,alpha_1e-05_eps_1.5_sw_target_reciprocal,112.874545,12.456757
HuberRegressor,alpha_1e-05_eps_1.75_sw_uniform,74.193346,10.772104
HuberRegressor,alpha_1e-05_eps_1.75_sw_target_reciprocal,110.772531,12.327792
HuberRegressor,alpha_1e-05_eps_1.9_sw_uniform,74.921429,10.969939
HuberRegressor,alpha_1e-05_eps_1.9_sw_target_reciprocal,109.740512,12.419788
HuberRegressor,alpha_0.0001_eps_1.1_sw_uniform,72.317884,10.732669
HuberRegressor,alpha_0.0001_eps_1.1_sw_target_reciprocal,113.729456,12.445544
HuberRegressor,alpha_0.0001_eps_1.35_sw_uniform,73.125868,10.812398
HuberRegressor,alpha_0.0001_eps_1.35_sw_target_reciprocal,113.232929,12.379473
HuberRegressor,alpha_0.0001_eps_1.5_sw_uniform,73.313646,10.732956
HuberRegressor,alpha_0.0001_eps_1.5_sw_target_reciprocal,112.652919,12.399743
HuberRegressor,alpha_0.0001_eps_1.75_sw_uniform,74.397570,10.845643
HuberRegressor,alpha_0.0001_eps_1.75_sw_target_reciprocal,111.097326,12.407290
HuberRegressor,alpha_0.0001_eps_1.9_sw_uniform,74.845285,10.956101
HuberRegressor,alpha_0.0001_eps_1.9_sw_target_reciprocal,109.956753,12.438877
HuberRegressor,alpha_0.001_eps_1.1_sw_uniform,72.304416,10.747382
HuberRegressor,alpha_0.001_eps_1.1_sw_target_reciprocal,113.370795,12.399626
HuberRegressor,alpha_0.001_eps_1.35_sw_uniform,73.328470,10.816314
HuberRegressor,alpha_0.001_eps_1.35_sw_target_reciprocal,113.321503,12.399887
HuberRegressor,alpha_0.001_eps_1.5_sw_uniform,73.248461,10.724852
HuberRegressor,alpha_0.001_eps_1.5_sw_target_reciprocal,113.063127,12.542758
HuberRegressor,alpha_0.001_eps_1.75_sw_uniform,73.935806,10.735851
HuberRegressor,alpha_0.001_eps_1.75_sw_target_reciprocal,111.017661,12.268657
HuberRegressor,alpha_0.001_eps_1.9_sw_uniform,74.962650,10.958367
HuberRegressor,alpha_0.001_eps_1.9_sw_target_reciprocal,110.022723,12.532535
HuberRegressor,alpha_0.01_eps_1.1_sw_uniform,72.327808,10.777999
HuberRegressor,alpha_0.01_eps_1.1_sw_target_reciprocal,113.494598,12.478735
HuberRegressor,alpha_0.01_eps_1.35_sw_uniform,73.278927,10.833215
HuberRegressor,alpha_0.01_eps_1.35_sw_target_reciprocal,112.564867,12.391472
HuberRegressor,alpha_0.01_eps_1.5_sw_uniform,73.129277,10.661230
HuberRegressor,alpha_0.01_eps_1.5_sw_target_reciprocal,112.409826,12.435608
HuberRegressor,alpha_0.01_eps_1.75_sw_uniform,74.051677,10.768127
HuberRegressor,alpha_0.01_eps_1.75_sw_target_reciprocal,110.677484,12.249418
HuberRegressor,alpha_0.01_eps_1.9_sw_uniform,74.877565,10.954380
HuberRegressor,alpha_0.01_eps_1.9_sw_target_reciprocal,109.619136,12.396652
