model,params,WMAE,NAE
Ridge,alpha_1e-05_sw_uniform,74.608313,10.359771
Ridge,alpha_1e-05_sw_target_reciprocal,90.254465,11.696867
Ridge,alpha_0.0001_sw_uniform,72.561685,10.155282
Ridge,alpha_0.0001_sw_target_reciprocal,89.605432,11.609168
Ridge,alpha_0.001_sw_uniform,71.122204,10.034976
Ridge,alpha_0.001_sw_target_reciprocal,89.920203,11.791327
Ridge,alpha_0.01_sw_uniform,70.365439,9.982318
Ridge,alpha_0.01_sw_target_reciprocal,93.573217,13.104856
Ridge,alpha_0.1_sw_uniform,70.024333,9.990843
Ridge,alpha_0.1_sw_target_reciprocal,95.568324,12.983452
Ridge,alpha_1_sw_uniform,70.145716,10.048991
Ridge,alpha_1_sw_target_reciprocal,95.588735,12.116753
Ridge,alpha_10_sw_uniform,70.581279,10.056489
Ridge,alpha_10_sw_target_reciprocal,96.933220,12.164501
Ridge,alpha_100_sw_uniform,71.559875,10.182683
Ridge,alpha_100_sw_target_reciprocal,101.243521,13.317467
Ridge,alpha_1000_sw_uniform,73.402924,10.495764
Ridge,alpha_1000_sw_target_reciprocal,105.891516,13.814600
