model,params,WMAE,NAE
Ridge,alpha_1e-05_sw_uniform,91.370123,10.359771
Ridge,alpha_1e-05_sw_target_reciprocal,111.756189,11.696866
Ridge,alpha_0.0001_sw_uniform,88.947957,10.155282
Ridge,alpha_0.0001_sw_target_reciprocal,111.268345,11.609168
Ridge,alpha_0.001_sw_uniform,87.233409,10.034976
Ridge,alpha_0.001_sw_target_reciprocal,111.928200,11.791327
Ridge,alpha_0.01_sw_uniform,86.307203,9.982318
Ridge,alpha_0.01_sw_target_reciprocal,116.281355,13.104856
Ridge,alpha_0.1_sw_uniform,85.857574,9.990843
Ridge,alpha_0.1_sw_target_reciprocal,119.124582,12.983452
Ridge,alpha_1_sw_uniform,85.962799,10.048991
Ridge,alpha_1_sw_target_reciprocal,120.011801,12.116753
Ridge,alpha_10_sw_uniform,86.551704,10.056489
Ridge,alpha_10_sw_target_reciprocal,122.266526,12.164501
Ridge,alpha_100_sw_uniform,87.771057,10.182683
Ridge,alpha_100_sw_target_reciprocal,127.321751,13.317467
Ridge,alpha_1000_sw_uniform,89.792364,10.495764
Ridge,alpha_1000_sw_target_reciprocal,132.555138,13.814600
