model,params,MAE_1,MAE_2,MAE_3,WMAE
RandomForestRegressor,ne_50_md_10,0.109818,24.233119,0.007418,58.662065
RandomForestRegressor,ne_100_md_10,0.109410,24.206311,0.007405,58.510139
RandomForestRegressor,ne_50_md_15,0.100041,21.641683,0.006824,53.018866
RandomForestRegressor,ne_100_md_15,0.099057,21.641399,0.006806,52.719716
RandomForestRegressor,ne_50_md_20,0.098123,21.265804,0.006710,52.044859
RandomForestRegressor,ne_100_md_20,0.096482,21.227545,0.006667,51.505583
RandomForestRegressor,ne_50_md_25,0.096495,21.190727,0.006688,51.476854
RandomForestRegressor,ne_100_md_25,0.095421,21.118320,0.006625,51.069667
RandomForestRegressor,ne_50_md_30,0.096342,21.176784,0.006652,51.409881
RandomForestRegressor,ne_100_md_30,0.095522,21.120063,0.006627,51.102052
RandomForestRegressor,ne_50_md_35,0.096687,21.104373,0.006651,51.440585
RandomForestRegressor,ne_100_md_35,0.095397,21.100164,0.006624,51.044269
