model,params,MAE_1,MAE_2,MAE_3,WMAE
xgb,xgb_001_le_0.1_cb_0.6_md_9_mcw_2,0.099536,21.050667,0.007178,52.346971
xgb,xgb_001_le_0.1_cb_0.6_md_9_mcw_3,0.099399,21.045597,0.007215,52.308438
xgb,xgb_001_le_0.1_cb_0.6_md_9_mcw_4,0.100505,20.949463,0.007222,52.545433
xgb,xgb_001_le_0.1_cb_0.6_md_10_mcw_2,0.097995,20.754186,0.007238,51.600277
xgb,xgb_001_le_0.1_cb_0.6_md_10_mcw_3,0.097561,20.931947,0.007143,51.628830
xgb,xgb_001_le_0.1_cb_0.6_md_10_mcw_4,0.098111,20.904358,0.007217,51.780976
xgb,xgb_001_le_0.1_cb_0.6_md_11_mcw_2,0.097677,20.509788,0.007042,51.221311
xgb,xgb_001_le_0.1_cb_0.6_md_11_mcw_3,0.097308,20.350467,0.007087,50.960099
xgb,xgb_001_le_0.1_cb_0.6_md_11_mcw_4,0.096829,20.624442,0.007091,51.091367
xgb,xgb_001_le_0.1_cb_0.6_md_12_mcw_2,0.095793,20.216437,0.007082,50.370757
xgb,xgb_001_le_0.1_cb_0.6_md_12_mcw_3,0.095856,20.314541,0.006968,50.465052
xgb,xgb_001_le_0.1_cb_0.6_md_12_mcw_4,0.096134,20.457090,0.007039,50.705238
xgb,xgb_001_le_0.1_cb_0.6_md_13_mcw_2,0.095966,20.127422,0.007121,50.341560
xgb,xgb_001_le_0.1_cb_0.6_md_13_mcw_3,0.095007,20.092702,0.006934,49.981434
xgb,xgb_001_le_0.1_cb_0.6_md_13_mcw_4,0.096970,20.236917,0.007024,50.732815
xgb,xgb_001_le_0.2_cb_0.6_md_9_mcw_2,0.099522,21.186708,0.007311,52.505475
xgb,xgb_001_le_0.2_cb_0.6_md_9_mcw_3,0.099099,21.298757,0.007555,52.539485
xgb,xgb_001_le_0.2_cb_0.6_md_9_mcw_4,0.099017,21.110040,0.007397,52.294696
xgb,xgb_001_le_0.2_cb_0.6_md_10_mcw_2,0.099383,20.876632,0.007470,52.185449
xgb,xgb_001_le_0.2_cb_0.6_md_10_mcw_3,0.098333,20.987618,0.007456,51.978864
xgb,xgb_001_le_0.2_cb_0.6_md_10_mcw_4,0.099036,20.908208,0.007374,52.093877
xgb,xgb_001_le_0.2_cb_0.6_md_11_mcw_2,0.097992,20.675104,0.007393,51.551190
xgb,xgb_001_le_0.2_cb_0.6_md_11_mcw_3,0.097051,20.627198,0.007313,51.205084
xgb,xgb_001_le_0.2_cb_0.6_md_11_mcw_4,0.098428,20.834990,0.007454,51.854164
xgb,xgb_001_le_0.2_cb_0.6_md_12_mcw_2,0.097931,20.548981,0.007357,51.399513
xgb,xgb_001_le_0.2_cb_0.6_md_12_mcw_3,0.096676,20.878634,0.007383,51.358040
xgb,xgb_001_le_0.2_cb_0.6_md_12_mcw_4,0.098090,20.703201,0.007307,51.591576
xgb,xgb_001_le_0.2_cb_0.6_md_13_mcw_2,0.097008,20.374819,0.007484,50.974181
xgb,xgb_001_le_0.2_cb_0.6_md_13_mcw_3,0.097358,20.302286,0.007288,50.967271
xgb,xgb_001_le_0.2_cb_0.6_md_13_mcw_4,0.096930,20.377485,0.007390,50.934516
xgb,xgb_001_le_0.1_cb_0.8_md_9_mcw_2,0.097958,20.805945,0.006872,51.567508
xgb,xgb_001_le_0.1_cb_0.8_md_9_mcw_3,0.098672,20.569721,0.006858,51.542989
xgb,xgb_001_le_0.1_cb_0.8_md_9_mcw_4,0.098521,20.765491,0.006900,51.701792
xgb,xgb_001_le_0.1_cb_0.8_md_10_mcw_2,0.096968,20.401363,0.006869,50.865574
xgb,xgb_001_le_0.1_cb_0.8_md_10_mcw_3,0.097489,20.594960,0.006781,51.197896
xgb,xgb_001_le_0.1_cb_0.8_md_10_mcw_4,0.096876,20.474109,0.006834,50.903744
xgb,xgb_001_le_0.1_cb_0.8_md_11_mcw_2,0.096423,20.016688,0.006783,50.300221
xgb,xgb_001_le_0.1_cb_0.8_md_11_mcw_3,0.096784,20.238154,0.006835,50.640411
xgb,xgb_001_le_0.1_cb_0.8_md_11_mcw_4,0.096996,20.216643,0.006777,50.670972
xgb,xgb_001_le_0.1_cb_0.8_md_12_mcw_2,0.095038,20.003168,0.006777,49.869902
xgb,xgb_001_le_0.1_cb_0.8_md_12_mcw_3,0.094981,19.805963,0.006727,49.645580
xgb,xgb_001_le_0.1_cb_0.8_md_12_mcw_4,0.095198,19.953341,0.006793,49.871164
xgb,xgb_001_le_0.1_cb_0.8_md_13_mcw_2,0.095406,19.924004,0.006750,49.895750
xgb,xgb_001_le_0.1_cb_0.8_md_13_mcw_3,0.093226,19.611087,0.006691,48.916988
xgb,xgb_001_le_0.1_cb_0.8_md_13_mcw_4,0.094522,19.810657,0.006639,49.495132
xgb,xgb_001_le_0.2_cb_0.8_md_9_mcw_2,0.099592,20.788441,0.007078,52.081820
xgb,xgb_001_le_0.2_cb_0.8_md_9_mcw_3,0.099967,21.002168,0.007041,52.400353
xgb,xgb_001_le_0.2_cb_0.8_md_9_mcw_4,0.099059,21.039910,0.007173,52.192113
xgb,xgb_001_le_0.2_cb_0.8_md_10_mcw_2,0.097235,20.644389,0.007021,51.219159
xgb,xgb_001_le_0.2_cb_0.8_md_10_mcw_3,0.097350,20.741894,0.006911,51.329007
xgb,xgb_001_le_0.2_cb_0.8_md_10_mcw_4,0.097957,20.782662,0.007138,51.597302
xgb,xgb_001_le_0.2_cb_0.8_md_11_mcw_2,0.095495,20.310281,0.007057,50.370363
xgb,xgb_001_le_0.2_cb_0.8_md_11_mcw_3,0.095104,20.404032,0.007097,50.354571
xgb,xgb_001_le_0.2_cb_0.8_md_11_mcw_4,0.096018,20.060694,0.006975,50.261013
xgb,xgb_001_le_0.2_cb_0.8_md_12_mcw_2,0.096811,20.018447,0.006975,50.456728
xgb,xgb_001_le_0.2_cb_0.8_md_12_mcw_3,0.096131,20.109698,0.007002,50.349580
xgb,xgb_001_le_0.2_cb_0.8_md_12_mcw_4,0.095301,20.367829,0.006978,50.353677
xgb,xgb_001_le_0.2_cb_0.8_md_13_mcw_2,0.095183,19.983049,0.007083,49.954459
xgb,xgb_001_le_0.2_cb_0.8_md_13_mcw_3,0.096747,20.051138,0.006892,50.453646
xgb,xgb_001_le_0.2_cb_0.8_md_13_mcw_4,0.095847,19.958596,0.006789,50.070493
xgb,xgb_001_le_0.1_cb_1.0_md_9_mcw_2,0.098562,20.389898,0.006767,51.311740
xgb,xgb_001_le_0.1_cb_1.0_md_9_mcw_3,0.097824,20.355081,0.006829,51.068312
xgb,xgb_001_le_0.1_cb_1.0_md_9_mcw_4,0.098684,20.480935,0.006685,51.423128
xgb,xgb_001_le_0.1_cb_1.0_md_10_mcw_2,0.095438,19.987072,0.006641,49.946636
xgb,xgb_001_le_0.1_cb_1.0_md_10_mcw_3,0.096725,20.013574,0.006615,50.354207
xgb,xgb_001_le_0.1_cb_1.0_md_10_mcw_4,0.096419,20.163756,0.006598,50.408976
xgb,xgb_001_le_0.1_cb_1.0_md_11_mcw_2,0.095490,19.980048,0.006518,49.930617
xgb,xgb_001_le_0.1_cb_1.0_md_11_mcw_3,0.094569,19.998758,0.006560,49.681438
xgb,xgb_001_le_0.1_cb_1.0_md_11_mcw_4,0.094211,19.771244,0.006596,49.353617
xgb,xgb_001_le_0.1_cb_1.0_md_12_mcw_2,0.094571,19.693731,0.006517,49.368364
xgb,xgb_001_le_0.1_cb_1.0_md_12_mcw_3,0.093317,19.621314,0.006529,48.922101
xgb,xgb_001_le_0.1_cb_1.0_md_12_mcw_4,0.094447,19.303903,0.006488,48.935573
xgb,xgb_001_le_0.1_cb_1.0_md_13_mcw_2,0.092891,19.102725,0.006474,48.264847
xgb,xgb_001_le_0.1_cb_1.0_md_13_mcw_3,0.092642,19.346821,0.006488,48.436908
xgb,xgb_001_le_0.1_cb_1.0_md_13_mcw_4,0.092995,19.381589,0.006527,48.585527
xgb,xgb_001_le_0.2_cb_1.0_md_9_mcw_2,0.098274,20.609146,0.006825,51.456415
xgb,xgb_001_le_0.2_cb_1.0_md_9_mcw_3,0.098965,20.566778,0.006734,51.603082
xgb,xgb_001_le_0.2_cb_1.0_md_9_mcw_4,0.098201,20.699384,0.006920,51.543580
xgb,xgb_001_le_0.2_cb_1.0_md_10_mcw_2,0.096031,20.577593,0.006772,50.741244
xgb,xgb_001_le_0.2_cb_1.0_md_10_mcw_3,0.097208,20.319965,0.006793,50.840997
xgb,xgb_001_le_0.2_cb_1.0_md_10_mcw_4,0.098218,20.287285,0.006742,51.101064
xgb,xgb_001_le_0.2_cb_1.0_md_11_mcw_2,0.096173,20.374942,0.006807,50.588231
xgb,xgb_001_le_0.2_cb_1.0_md_11_mcw_3,0.095476,20.146319,0.006669,50.122834
xgb,xgb_001_le_0.2_cb_1.0_md_11_mcw_4,0.095916,19.947720,0.006755,50.073718
xgb,xgb_001_le_0.2_cb_1.0_md_12_mcw_2,0.096085,19.775391,0.006660,49.932998
xgb,xgb_001_le_0.2_cb_1.0_md_12_mcw_3,0.094816,19.661547,0.006708,49.447895
xgb,xgb_001_le_0.2_cb_1.0_md_12_mcw_4,0.095333,19.845444,0.006692,49.783677
xgb,xgb_001_le_0.2_cb_1.0_md_13_mcw_2,0.095833,19.861293,0.006716,49.954298
xgb,xgb_001_le_0.2_cb_1.0_md_13_mcw_3,0.094901,19.827581,0.006674,49.632762
xgb,xgb_001_le_0.2_cb_1.0_md_13_mcw_4,0.093914,19.466142,0.006727,48.985755
xgb,xgb_001_le_0.1_cb_0.6_md_14_mcw_2,0.096207,19.800875,0.007097,50.082454
xgb,xgb_001_le_0.1_cb_0.6_md_14_mcw_3,0.095968,19.947809,0.007020,50.142393
xgb,xgb_001_le_0.1_cb_0.6_md_14_mcw_4,0.095361,20.185452,0.006976,50.188978
xgb,xgb_001_le_0.1_cb_0.6_md_15_mcw_2,0.095697,19.996813,0.007047,50.115083
xgb,xgb_001_le_0.1_cb_0.6_md_15_mcw_3,0.094489,19.982756,0.006919,49.713181
xgb,xgb_001_le_0.1_cb_0.6_md_15_mcw_4,0.095524,20.082832,0.007039,50.147910
xgb,xgb_001_le_0.1_cb_0.6_md_16_mcw_2,0.095497,19.859484,0.007008,49.910124
xgb,xgb_001_le_0.1_cb_0.6_md_16_mcw_3,0.096170,19.854831,0.006948,50.095527
xgb,xgb_001_le_0.1_cb_0.6_md_16_mcw_4,0.096183,19.724468,0.006926,49.964532
