model,params,MAE_1,MAE_2,MAE_3,WMAE
xgb,xgb_001_le_0.1_cb_0.8_md_10_mcw_2,0.093859,20.838866,0.007002,50.396903
xgb,xgb_001_le_0.1_cb_0.8_md_10_mcw_3,0.094750,20.758940,0.007012,50.586294
xgb,xgb_001_le_0.1_cb_0.8_md_10_mcw_4,0.095722,20.735350,0.006939,50.839899
xgb,xgb_001_le_0.1_cb_0.8_md_11_mcw_2,0.093041,20.629915,0.006773,49.896924
xgb,xgb_001_le_0.1_cb_0.8_md_11_mcw_3,0.093921,20.472242,0.006876,50.023662
xgb,xgb_001_le_0.1_cb_0.8_md_11_mcw_4,0.092711,20.616041,0.006927,49.814704
xgb,xgb_001_le_0.1_cb_0.8_md_12_mcw_2,0.092678,20.428561,0.006785,49.588898
xgb,xgb_001_le_0.1_cb_0.8_md_12_mcw_3,0.091816,20.356031,0.006769,49.254652
xgb,xgb_001_le_0.1_cb_0.8_md_12_mcw_4,0.092018,20.360910,0.006799,49.326137
xgb,xgb_001_le_0.1_cb_0.8_md_13_mcw_2,0.091095,20.170912,0.006641,48.827564
xgb,xgb_001_le_0.1_cb_0.8_md_13_mcw_3,0.089997,19.929151,0.006753,48.278902
xgb,xgb_001_le_0.1_cb_0.8_md_13_mcw_4,0.090704,20.248440,0.006699,48.799470
xgb,xgb_001_le_0.1_cb_0.8_md_14_mcw_2,0.090596,19.700814,0.006655,48.210584
xgb,xgb_001_le_0.1_cb_0.8_md_14_mcw_3,0.090959,19.826854,0.006689,48.452200
xgb,xgb_001_le_0.1_cb_0.8_md_14_mcw_4,0.090997,20.054484,0.006675,48.688652
xgb,xgb_001_le_0.2_cb_0.8_md_10_mcw_2,0.095787,20.923801,0.007119,51.083870
xgb,xgb_001_le_0.2_cb_0.8_md_10_mcw_3,0.095960,20.908429,0.007082,51.112790
xgb,xgb_001_le_0.2_cb_0.8_md_10_mcw_4,0.096711,20.677634,0.007117,51.114296
xgb,xgb_001_le_0.2_cb_0.8_md_11_mcw_2,0.095614,20.728773,0.007052,50.823489
xgb,xgb_001_le_0.2_cb_0.8_md_11_mcw_3,0.094088,20.344658,0.007056,49.982168
