model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
ElasticNet,alpha_1e-05_l1r_0.05,83.619138,0.168493,29.100958,0.019852,2.004420,1.728244,0.248801,0.027376
ElasticNet,alpha_1e-05_l1r_0.1,83.618847,0.168492,29.100829,0.019852,2.004418,1.728242,0.248800,0.027376
ElasticNet,alpha_1e-05_l1r_0.5,83.616526,0.168487,29.099801,0.019853,2.004402,1.728233,0.248792,0.027377
ElasticNet,alpha_1e-05_l1r_0.9,83.614355,0.168483,29.098786,0.019853,2.004360,1.728197,0.248785,0.027379
ElasticNet,alpha_0.0001_l1r_0.05,83.621206,0.168513,29.095512,0.019859,2.007058,1.730829,0.248837,0.027392
ElasticNet,alpha_0.0001_l1r_0.1,83.618490,0.168508,29.094133,0.019861,2.007012,1.730790,0.248827,0.027395
ElasticNet,alpha_0.0001_l1r_0.5,83.600535,0.168474,29.083322,0.019875,2.006196,1.730021,0.248757,0.027418
ElasticNet,alpha_0.0001_l1r_0.9,83.588700,0.168455,29.072908,0.019896,2.005332,1.729173,0.248708,0.027450
ElasticNet,alpha_0.001_l1r_0.05,83.809236,0.168998,29.096826,0.020065,2.022540,1.745271,0.249554,0.027716
ElasticNet,alpha_0.001_l1r_0.1,83.811888,0.169026,29.085497,0.020093,2.021193,1.743916,0.249524,0.027753
ElasticNet,alpha_0.001_l1r_0.5,83.945060,0.169541,29.023972,0.020294,2.004048,1.726140,0.249869,0.028038
ElasticNet,alpha_0.001_l1r_0.9,84.278698,0.170647,28.983558,0.020505,1.975702,1.696931,0.250424,0.028346
ElasticNet,alpha_0.01_l1r_0.05,85.891629,0.173976,29.494605,0.021020,2.006868,1.720729,0.257054,0.029085
ElasticNet,alpha_0.01_l1r_0.1,86.018940,0.174289,29.518642,0.021068,2.010088,1.723264,0.257652,0.029173
ElasticNet,alpha_0.01_l1r_0.5,86.777014,0.175850,29.768261,0.021269,2.030432,1.739911,0.260936,0.029585
ElasticNet,alpha_0.01_l1r_0.9,87.376325,0.177153,29.979088,0.021257,2.061910,1.769297,0.262996,0.029617
ElasticNet,alpha_0.1_l1r_0.05,90.855264,0.181879,31.633338,0.023292,2.188799,1.877775,0.278676,0.032349
ElasticNet,alpha_0.1_l1r_0.1,91.277340,0.182374,31.909920,0.023276,2.238707,1.925507,0.280800,0.032400
ElasticNet,alpha_0.1_l1r_0.5,95.458347,0.189123,34.145272,0.022882,2.618825,2.288543,0.298142,0.032140
ElasticNet,alpha_0.1_l1r_0.9,99.636458,0.195155,36.927626,0.020812,2.892325,2.537195,0.325648,0.029482
ElasticNet,alpha_1_l1r_0.05,109.568222,0.209222,40.967833,0.029168,3.050674,2.635351,0.374511,0.040812
ElasticNet,alpha_1_l1r_0.1,113.498306,0.214069,43.362355,0.029576,3.350665,2.909456,0.399698,0.041512
ElasticNet,alpha_1_l1r_0.5,141.523299,0.254712,53.834265,0.056378,4.549680,3.934311,0.535683,0.079687
ElasticNet,alpha_1_l1r_0.9,158.374864,0.254712,58.633648,0.116638,4.712274,3.934311,0.612743,0.165221
