model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
LGBMRegressor,ne_100_nl_100_lr_0.05_ld_0_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,51.256368,0.097715,20.499288,0.007213,0.515039,0.350924,0.154067,0.010048
LGBMRegressor,ne_100_nl_100_lr_0.05_ld_0_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,51.256368,0.097715,20.499288,0.007213,0.515039,0.350924,0.154067,0.010048
LGBMRegressor,ne_100_nl_100_lr_0.05_ld_0.01_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,51.100045,0.097579,20.383571,0.007213,0.511913,0.348880,0.152985,0.010048
LGBMRegressor,ne_100_nl_100_lr_0.05_ld_0.01_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,51.100045,0.097579,20.383571,0.007213,0.511913,0.348880,0.152985,0.010048
LGBMRegressor,ne_100_nl_400_lr_0.05_ld_0_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,47.700563,0.090972,19.062054,0.006734,0.470813,0.319134,0.142280,0.009398
LGBMRegressor,ne_100_nl_400_lr_0.05_ld_0_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,47.700563,0.090972,19.062054,0.006734,0.470813,0.319134,0.142280,0.009398
LGBMRegressor,ne_100_nl_400_lr_0.05_ld_0.01_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,47.751155,0.091341,18.996937,0.006760,0.470073,0.318986,0.141661,0.009426
LGBMRegressor,ne_100_nl_400_lr_0.05_ld_0.01_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,47.751155,0.091341,18.996937,0.006760,0.470073,0.318986,0.141661,0.009426
LGBMRegressor,ne_100_nl_800_lr_0.05_ld_0_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,46.596093,0.088921,18.614502,0.006527,0.455364,0.308000,0.138258,0.009105
LGBMRegressor,ne_100_nl_800_lr_0.05_ld_0_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,46.596093,0.088921,18.614502,0.006527,0.455364,0.308000,0.138258,0.009105
