model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
Ridge,alpha_1e-05_sw_uniform,83.372408,0.167775,29.115944,0.019620,1.980158,1.705082,0.248081,0.026996
Ridge,alpha_1e-05_sw_target_reciprocal,128.277062,0.307647,31.972259,0.020053,1.284302,0.995606,0.261328,0.027368
Ridge,alpha_0.0001_sw_uniform,83.386455,0.167817,29.117518,0.019620,1.995285,1.720203,0.248086,0.026996
Ridge,alpha_0.0001_sw_target_reciprocal,128.276420,0.307653,31.969894,0.020053,1.284300,0.995624,0.261307,0.027368
Ridge,alpha_0.001_sw_uniform,83.399580,0.167856,29.118856,0.019620,2.010547,1.735461,0.248091,0.026996
Ridge,alpha_0.001_sw_target_reciprocal,128.274385,0.307710,31.950698,0.020053,1.284336,0.995804,0.261164,0.027368
Ridge,alpha_0.01_sw_uniform,83.399439,0.167859,29.117935,0.019619,2.013720,1.738641,0.248083,0.026996
Ridge,alpha_0.01_sw_target_reciprocal,128.356246,0.308235,31.875307,0.020052,1.285758,0.997486,0.260904,0.027367
Ridge,alpha_0.1_sw_uniform,83.381766,0.167829,29.109772,0.019617,2.015028,1.739998,0.248031,0.026999
Ridge,alpha_0.1_sw_target_reciprocal,128.983194,0.311066,31.655152,0.020041,1.296482,1.008341,0.260784,0.027357
Ridge,alpha_1_sw_uniform,83.373031,0.167852,29.086182,0.019656,2.011430,1.736357,0.247994,0.027079
Ridge,alpha_1_sw_target_reciprocal,129.880754,0.314780,31.439893,0.020035,1.308883,1.020123,0.261391,0.027369
Ridge,alpha_10_sw_uniform,83.453843,0.168133,29.055946,0.019791,1.999015,1.723313,0.248404,0.027297
Ridge,alpha_10_sw_target_reciprocal,131.596847,0.319411,31.746192,0.020137,1.310375,1.015104,0.267721,0.027550
Ridge,alpha_100_sw_uniform,84.163492,0.169981,29.118091,0.020256,2.007854,1.729170,0.250696,0.027989
Ridge,alpha_100_sw_target_reciprocal,136.047678,0.327561,33.690291,0.020445,1.338370,1.021492,0.288858,0.028019
Ridge,alpha_1000_sw_uniform,86.935774,0.175713,29.902089,0.021599,2.036776,1.745373,0.261521,0.029882
Ridge,alpha_1000_sw_target_reciprocal,145.504206,0.334798,40.759089,0.021529,1.440079,1.041371,0.369145,0.029562
